Date,closing Price,Moving Average
2021-01-04,128.2649993896,128.2649993896
2021-01-05,129.8508148193,129.05790710445
2021-01-06,125.4798431396,127.86521911616667
2021-01-07,129.7616271973,128.33932113645
2021-01-08,130.8816375732,128.8477844238
2021-01-11,127.8387832642,128.67961756386669
2021-01-12,127.6603927612,128.53401402062858
2021-01-13,129.7319030762,128.68375015257502
2021-01-14,127.7694244385,128.5821584065667
2021-01-15,126.0150604248,128.32544860839
2021-01-19,126.69896698,128.1775866421727
2021-01-20,130.8618164062,128.40127245584165
2021-01-21,135.658996582,128.9595589270846
2021-01-22,137.8395385742,129.59384318759285
2021-01-25,141.6554718018,130.39795176187332
2021-01-26,141.8933410645,131.1164135932875
2021-01-27,140.8030548096,131.68621601777645
2021-01-28,135.8770446777,131.91903983221664
2021-01-29,130.7924499512,131.8597456279526
2021-02-01,132.9531402588,131.91441535949497
2021-02-02,133.7956390381,132.00399743942856
2021-02-03,132.7549133301,132.0381299799136
2021-02-04,136.1743774414,132.21796682606518
2021-02-05,135.7524871826,132.36523850758746
2021-02-08,135.9014282227,132.50668609619194
2021-02-09,135.008026123,132.6028914818384
2021-02-10,134.3925933838,132.66917673746661
2021-02-11,134.1345062256,132.72150993347137
2021-02-12,134.3727264404,132.77844843371028
2021-02-16,132.2087860107,132.75945968627659
2021-02-17,129.8761291504,132.66644902382896
2021-02-18,128.7544555664,132.5441992282843
2021-02-19,128.913269043,132.43417104085142
2021-02-22,125.0717773438,132.21763004976168
2021-02-23,124.9328155518,132.00949249267705
2021-02-24,124.4265670776,131.7988556755916
2021-02-25,120.0986785889,131.48263467324858
2021-02-26,120.3666915894,131.19010985525256
2021-03-01,126.8485946655,131.07878895295121
2021-03-02,124.1982727051,130.90677604675494
2021-03-03,121.1608047485,130.66906942972432
2021-03-04,119.2450180054,130.39706820533564
2021-03-05,120.5255203247,130.16749732439064
2021-03-08,115.5027999878,129.83420874855904
2021-03-09,120.1979522705,129.62006971571327
2021-03-10,119.0961303711,129.39128842561297
2021-03-11,121.0615386963,129.214059707968
2021-03-12,120.1383895874,129.02498324712283
2021-03-15,123.0765762329,128.9035871856081
2021-03-16,124.6449432373,128.81841430664196
2021-03-17,123.8409194946,128.72081636915092
2021-03-18,119.642074585,128.54622518099418
2021-03-19,119.106048584,128.36810864142825
2021-03-22,122.481010437,128.25908830430922
2021-03-23,121.6372680664,128.13869157271085
2021-03-24,119.2053146362,127.97916698455889
2021-03-25,119.7016296387,127.83394703112276
2021-03-26,120.3170623779,127.70434557158444
2021-03-29,120.4957427979,127.58216586355589
2021-03-30,119.0167160034,127.43940836588662
2021-03-31,121.2501449585,127.33794503133929
2021-04-01,122.0938796997,127.25336333244188
2021-04-05,124.9725189209,127.2171594528936
2021-04-06,125.2802429199,127.18689513206557
2021-04-07,126.9577865601,127.18337038480456
2021-04-08,129.3996582031,127.21695050326358
2021-04-09,132.0202026367,127.28864083361337
2021-04-12,130.2731781006,127.33253108753966
2021-04-13,133.4396820068,127.42104052115212
2021-04-14,131.0573577881,127.47298791067995
2021-04-15,133.5091705322,127.55800456732108
2021-04-16,133.1716766357,127.63597223493746
2021-04-19,133.8466491699,127.72105000116981
2021-04-20,132.1293945312,127.78062222454861
2021-04-21,132.5165405273,127.84376780191863
2021-04-22,130.9680175781,127.88487635160523
2021-04-23,133.3304901123,127.95559860823761
2021-04-26,133.7275390625,128.02959784483073
2021-04-27,133.3999633789,128.0975771553886
2021-04-28,132.5959320068,128.15380659103124
2021-04-29,132.496673584,128.20742223291975
2021-04-30,130.4915618896,128.2352775945866
2021-05-03,131.563583374,128.27537766421807
2021-05-04,126.9081497192,128.2591011410631
2021-05-05,127.1563110352,128.24612713981765
2021-05-06,128.7842407227,128.25238427450233
2021-05-07,129.4703063965,128.26638337935287
2021-05-10,126.1294021606,128.24209950186707
2021-05-11,125.194732666,128.20785942505958
2021-05-12,122.0725631714,128.13968946668558
2021-05-13,124.2600784302,128.09705637837254
2021-05-14,126.725982666,128.08215340323804
2021-05-17,125.5526809692,128.05495477491505
2021-05-18,124.1407546997,128.01331434858295
2021-05-19,123.9816665649,127.97087595085996
2021-05-20,126.5867767334,127.9564582506781
2021-05-21,124.7174606323,127.92306652265358
2021-05-24,126.3779754639,127.90730028736017
2021-05-25,126.179107666,127.88984379623533
2021-05-26,126.1294021606,127.87223937987898
